study_hours,test_score,grade_level
4,72,Freshman
6,68,Freshman
8,75,Freshman
10,71,Freshman
5,74,Freshman
9,69,Freshman
12,73,Freshman
7,70,Freshman
11,76,Freshman
3,67,Freshman
5,76,Sophomore
7,73,Sophomore
9,78,Sophomore
11,75,Sophomore
6,79,Sophomore
10,72,Sophomore
13,77,Sophomore
8,74,Sophomore
12,80,Sophomore
4,71,Sophomore
6,80,Junior
8,77,Junior
10,83,Junior
12,79,Junior
7,85,Junior
11,76,Junior
14,82,Junior
9,78,Junior
13,84,Junior
5,81,Junior
7,84,Senior
9,81,Senior
11,87,Senior
13,83,Senior
8,89,Senior
12,85,Senior
14,86,Senior
10,82,Senior
13,88,Senior
6,80,Senior
