frequency,progress,experience_level
2,25,Beginner
3,30,Beginner
1,20,Beginner
2,28,Beginner
1,22,Beginner
3,32,Beginner
2,26,Beginner
3,29,Beginner
3,65,Beginner
4,68,Beginner
5,72,Beginner
4,45,Intermediate
5,52,Intermediate
3,40,Intermediate
4,48,Intermediate
5,55,Intermediate
4,42,Intermediate
5,58,Intermediate
3,38,Intermediate
4,46,Intermediate
5,50,Intermediate
6,72,Advanced
7,78,Advanced
5,65,Advanced
6,75,Advanced
7,80,Advanced
5,68,Advanced
6,70,Advanced
7,76,Advanced
6,73,Advanced
5,62,Advanced
6,85,Expert
7,90,Expert
7,95,Expert
6,88,Expert
7,92,Expert
7,87,Expert
6,83,Expert
7,89,Expert
7,93,Expert
6,82,Expert
