size,price,property_type
500,195000,Studio
650,210000,Studio
750,185000,Studio
600,225000,Studio
550,200000,Studio
700,190000,Studio
800,235000,Studio
450,180000,Studio
680,215000,Studio
620,205000,Studio
550,205000,1 Bedroom
700,195000,1 Bedroom
800,240000,1 Bedroom
650,220000,1 Bedroom
600,210000,1 Bedroom
750,185000,1 Bedroom
850,250000,1 Bedroom
500,200000,1 Bedroom
720,215000,1 Bedroom
580,195000,1 Bedroom
600,190000,2 Bedroom
650,195000,2 Bedroom
700,195000,2 Bedroom
750,215000,2 Bedroom
800,210000,2 Bedroom
620,198000,2 Bedroom
680,198000,2 Bedroom
720,202000,2 Bedroom
780,208000,2 Bedroom
660,196000,2 Bedroom
700,270000,3 Bedroom
750,240000,3 Bedroom
800,290000,3 Bedroom
850,250000,3 Bedroom
900,295000,3 Bedroom
720,275000,3 Bedroom
780,245000,3 Bedroom
820,285000,3 Bedroom
860,255000,3 Bedroom
740,280000,3 Bedroom
