experience,salary,level
1.4,33805,Entry Level
5.3,33298,Entry Level
5.6,38703,Entry Level
3.2,34257,Entry Level
2.1,36471,Entry Level
4.0,34024,Entry Level
0.7,44771,Entry Level
3.0,35666,Entry Level
4.7,36536,Entry Level
3.2,41806,Entry Level
7.8,43296,Entry Level
4.7,41598,Entry Level
6.2,52927,Mid Level
9.1,48228,Mid Level
4.8,51065,Mid Level
11.4,50820,Mid Level
6.8,43925,Mid Level
2.6,49761,Mid Level
8.0,54407,Mid Level
2.8,49181,Mid Level
8.5,48312,Mid Level
2.8,50970,Mid Level
11.0,41192,Mid Level
3.2,52421,Mid Level
11.9,52224,Mid Level
5.2,57142,Mid Level
18.1,54297,Senior Level
7.4,55159,Senior Level
18.8,65646,Senior Level
12.6,60293,Senior Level
8.3,62636,Senior Level
10.3,63552,Senior Level
14.9,55679,Senior Level
8.0,58187,Senior Level
11.0,54787,Senior Level
9.9,65948,Senior Level
9.2,54587,Senior Level
15.3,54473,Senior Level
8.3,62570,Senior Level
5.7,67033,Senior Level
11.3,65544,Executive Level
20.0,67445,Executive Level
23.2,78776,Executive Level
8.0,69437,Executive Level
13.8,62569,Executive Level
19.1,63814,Executive Level
12.9,64984,Executive Level
21.2,79483,Executive Level
16.6,69298,Executive Level
11.4,61916,Executive Level
19.5,74870,Executive Level
