id,violent_crimes,property_crimes
01,520,2800
02,750,3200
04,450,2600
05,480,2900
06,420,2400
08,380,2200
09,320,1800
10,350,2000
11,400,2300
12,580,3100
13,500,2700
15,280,1600
16,420,2400
17,450,2600
18,380,2200
19,350,2000
20,400,2300
21,420,2400
22,550,3000
23,300,1700
24,380,2200
25,320,1800
26,350,2000
27,280,1600
28,450,2600
29,420,2400
30,380,2200
31,400,2300
32,480,2800
33,320,1800
34,380,2200
35,450,2600
36,350,2000
37,420,2400
38,320,1800
39,380,2200
40,420,2400
41,350,2000
42,320,1800
44,350,2000
45,450,2600
46,380,2200
47,420,2400
48,520,2900
49,420,2400
50,300,1700
51,420,2400
53,380,2200
54,350,2000
55,320,1800
56,380,2200
72,320,1800

