id,per_student,per_school
01,11500,450000
02,13500,520000
04,10500,380000
05,11200,420000
06,9800,350000
08,10200,390000
09,12500,480000
10,11800,440000
11,12200,460000
12,10800,400000
13,11000,410000
15,14000,550000
16,10400,400000
17,11600,430000
18,11400,420000
19,11300,420000
20,11100,410000
21,11500,430000
22,10700,400000
23,12800,490000
24,12000,450000
25,12600,480000
26,11700,440000
27,13200,510000
28,10900,410000
29,11300,420000
30,10500,400000
31,11200,420000
32,10300,380000
33,12700,490000
34,12100,450000
35,10600,400000
36,11900,450000
37,11400,430000
38,10800,410000
39,11600,430000
40,11300,420000
41,11500,440000
42,12000,460000
44,12400,470000
45,11100,420000
46,10700,410000
47,11400,430000
48,10200,380000
49,10900,420000
50,12900,500000
51,11800,440000
53,11000,420000
54,11200,420000
55,11600,440000
56,10600,410000
72,13800,530000

