sunlight,harvested_apples
12,180
15,185
14,175
16,200
18,170
20,210
22,190
25,230
27,195
29,220
30,240
32,200
35,260
37,220
38,245
40,270
42,210
45,280
48,230
50,290
52,240
55,300
57,260
59,330
60,270
62,310
65,280
67,330
70,290
72,350
75,320
78,370
80,330
82,390
85,350
88,410
90,370
92,430
95,390
98,450
100,410
102,470
105,430
108,490
110,450
112,510
115,470
118,530
120,490
123,550
125,510
128,570
130,530
132,590
135,550
138,610
140,570
143,630
145,590
148,650
150,610
152,670
155,630
158,690
12,180
13,190
14,170
15,185
16,175
17,180
18,200
19,170
20,190
21,210
22,230
23,195
24,205
25,220
26,180
27,235
28,195
29,220
30,240
31,260
32,200
33,240
34,220
35,260
36,220
37,245
38,270
39,250
40,280
41,210
42,240
43,260
44,240
45,290
46,250
47,300
48,240
49,310
50,270
51,280
52,240
53,290
54,300
55,330
56,280
57,320
58,290
59,350
60,310
61,320
62,290
63,360
64,330
65,280
66,340
67,350
68,320
69,370
70,290
71,380
72,360
73,350
74,390
75,320
76,400
77,360
78,370
79,390
80,330
81,410
82,390
83,400
84,370
85,350
86,390
87,410
88,370
89,420
90,390
91,400
92,430
93,390
94,410
95,430
96,390
97,450
98,410
99,450
100,410
101,470
102,420
103,460
104,430
105,490
106,450
107,510
108,430
109,490
110,460
111,520
112,470
113,500
114,490
115,530
116,470
117,550
118,490
119,570
120,490
121,600
122,510
123,550
124,530
125,570
126,510
127,590
128,520
129,600
130,530
131,610
132,550
133,590
134,560
135,620
136,550
137,640
138,570
139,630
140,580
141,650
142,590
143,610
144,600
145,620
146,610
147,630
148,620
149,640
150,630
151,650
152,640
153,660
154,650
155,670
156,660
157,690
158,670
159,680
160,690
