sunlight,growth_inverted
12,170
15,175
14,165
16,190
18,160
20,200
22,180
25,220
27,185
29,210
30,230
32,190
35,250
37,210
38,235
40,270
42,210
45,280
48,230
50,290
52,240
55,300
57,250
59,320
60,270
62,310
65,280
67,330
70,290
72,350
75,320
78,370
80,330
82,390
85,350
88,410
90,370
92,430
95,390
98,450
100,410
102,470
105,430
108,490
110,450
112,510
115,470
118,530
120,490
123,550
125,510
128,570
130,530
132,590
135,550
138,610
140,570
143,630
145,590
148,650
150,610
152,670
155,630
158,690
12,170
13,180
14,160
15,175
16,165
17,170
18,190
19,160
20,180
21,200
22,220
23,185
24,195
25,210
26,170
27,225
28,185
29,210
30,230
31,250
32,190
33,230
34,210
35,250
36,210
37,235
38,260
39,240
40,270
41,200
42,230
43,250
44,230
45,280
46,240
47,290
48,230
49,300
50,270
51,280
52,240
53,290
54,300
55,330
56,280
57,320
58,290
59,350
60,310
61,320
62,290
63,360
64,330
65,280
66,340
67,350
68,320
69,370
70,290
71,380
72,360
73,350
74,390
75,320
76,400
77,360
78,370
79,390
80,330
81,410
82,390
83,400
84,370
85,350
86,390
87,410
88,370
89,420
90,390
91,400
92,430
93,390
94,410
95,430
96,390
97,450
98,410
99,450
100,410
101,470
102,420
103,460
104,430
105,490
106,450
107,510
108,430
109,490
110,460
111,520
112,470
113,500
114,490
115,530
116,470
117,550
118,490
119,570
120,490
121,600
122,510
123,550
124,530
125,570
126,510
127,590
128,520
129,600
130,530
131,610
132,550
133,590
134,560
135,620
136,550
137,640
138,570
139,630
140,580
141,650
142,590
143,610
144,600
145,620
146,610
147,630
148,620
149,640
150,630
151,650
152,640
153,660
154,650
155,670
156,660
157,690
158,670
159,680
160,690
