sunlight,decreasing_growth
12,230
15,235
14,225
16,250
18,220
20,260
22,240
25,280
27,245
29,270
30,290
32,250
35,310
37,270
38,295
40,330
42,270
45,340
48,290
50,350
52,300
55,360
57,310
59,380
60,330
62,370
65,340
67,390
70,350
72,410
75,380
78,430
80,390
82,450
85,410
88,470
90,430
92,490
95,450
98,510
100,470
102,530
105,490
108,550
110,510
112,570
115,530
118,590
120,550
123,610
125,570
128,630
130,590
132,650
135,610
138,670
140,630
143,690
145,650
148,710
150,670
152,730
155,690
158,750
12,230
13,240
14,220
15,235
16,225
17,230
18,250
19,220
20,240
21,260
22,280
23,245
24,255
25,270
26,230
27,285
28,245
29,270
30,290
31,310
32,250
33,290
34,270
35,310
36,270
37,295
38,320
39,300
40,330
41,260
42,290
43,310
44,290
45,340
46,300
47,350
48,290
49,360
50,330
51,340
52,300
53,350
54,360
55,390
56,340
57,380
58,350
59,410
60,370
61,380
62,350
63,420
64,390
65,340
66,400
67,410
68,380
69,430
70,350
71,440
72,420
73,410
74,450
75,380
76,460
77,420
78,430
79,450
80,390
81,470
82,450
83,460
84,430
85,410
86,450
87,470
88,430
89,480
90,450
91,460
92,490
93,450
94,470
95,490
96,450
97,510
98,470
99,510
100,470
101,530
102,480
103,520
104,490
105,550
106,510
107,570
108,490
109,550
110,520
111,580
112,530
113,560
114,550
115,590
116,530
117,610
118,550
119,630
120,550
121,660
122,570
123,610
124,590
125,630
126,570
127,650
128,590
129,650
130,590
131,670
132,610
133,650
134,630
135,690
136,630
137,710
138,650
139,710
140,680
141,750
142,690
143,710
144,700
145,720
146,710
147,730
148,720
149,740
150,730
151,750
152,740
153,760
154,750
155,770
156,760
157,790
158,770
159,780
160,790
