ad_spend_inverted,sales_inverted
47.89,45.87
95.37,54.64
68.33,51.35
43.57,42.97
81.69,60.39
26.72,0.15
66.8,58.43
6.1,6.77
55.38,40.14
1.06,1.38
56.46,31.86
67.2,48.32
99.59,71.1
51.28,38.02
75.34,51.61
39.23,0
96.79,77.46
42.41,36.01
43.45,40.42
98.98,64.57
41.17,45.11
48.72,34.75
88.62,59.28
85.95,66.59
49.59,40.53
47.62,41.11
66.91,40.78
60.02,61.85
55.78,54.34
85.87,50.4
56.18,41.64
18.45,12.42
33.4,20.12
38.91,28.53
86.41,50.29
50.98,28.51
24.2,21.94
11.96,5.75
70.24,57.82
21.1,10.11
6.34,13.93
26.02,2.52
88.34,55.12
26.2,10.0
87.28,54.25
86.66,62.52
76.61,50.23
12.63,3.14
52.01,38.44
16.57,2.6
78.19,52.63
90.9,72.97
90.81,65.03
20.49,22.64
85.56,62.13
72.67,48.82
91.57,62.53
46.8,33.32
75.29,51.43
49.07,38.85
80.6,51.43
55.94,50.7
36.69,22.51
7.1,13.96
66.73,41.53
30.16,16.13
50.56,33.22
47.66,43.17
84.69,64.98
22.81,24.72
42.71,33.4
22.18,21.01
38.99,23.5
71.71,30.13
99.86,59.56
34.82,14.26
