training_hours_inverted,productivity_inverted
89.35,14.11
93.37,9.27
44.82,35.48
76.47,10.94
55.97,35.71
71.65,20.43
27.68,44.04
72.91,29.95
53.09,36.92
70.67,1.12
85.34,0
43.2,35.04
58.66,35.96
36.34,54.11
87.28,11.63
2.64,64.95
63.36,31.8
47.0,37.3
8.35,59.75
14.34,66.79
84.77,7.75
40.71,42.8
48.13,41.56
31.17,51.32
48.16,49.35
56.89,30.66
30.26,53.8
82.62,11.92
56.7,37.6
25.87,44.91
15.56,59.96
24.33,54.27
11.7,63.35
43.96,54.26
86.76,4.71
29.21,38.83
78.68,4.17
78.19,10.44
90.4,8.3
98.08,5.88
83.54,19.67
57.96,22.83
58.59,23.7
50.85,25.6
39.42,45.85
1.25,56.22
