study_hours_inverted,score_inverted
51.82,38.34
24.15,44.48
57.38,19.22
82.18,37.47
0.57,15.7
41.22,34.65
26.42,29.9
37.72,8.11
9.77,49.77
71.47,68.72
41.8,19.4
67.82,7.4
41.77,54.55
32.76,44.27
71.56,24.04
53.88,9.43
93.93,42.2
43.37,16.61
38.21,46.27
61.02,25.88
45.01,38.03
63.17,46.76
51.14,21.84
70.17,19.95
16.73,11.09
18.92,8.35
4.83,39.58
54.57,40.7
10.0,57.99
92.83,51.72
18.85,58.85
15.52,39.61
61.42,30.66
94.52,11.47
7.25,58.74
33.09,59.7
55.17,36.82
81.92,59.24
98.58,39.9
13.96,33.11
85.39,23.89
92.27,48.17
70.92,36.96
23.88,27.18
2.92,64.56
4.61,61.03
18.4,49.62
19.21,23.84
62.12,55.83
81.6,42.31
36.95,16.93
35.28,57.93
77.29,23.65
98.67,39.14
11.83,14.94
49.09,58.01
97.95,12.25
97.47,24.69
61.16,30.95
68.39,40.52
53.47,22.18
99.17,31.06
54.94,54.21
57.99,35.01
45.03,6.46
19.15,39.67
16.59,41.15
32.41,18.83
22.06,13.23
56.62,48.26
68.27,31.57
36.58,47.23
