sunlight_inverted,growth_inverted
86.32,0
51.68,21.45
34.59,42.3
66.21,16.54
1.29,68.65
12.58,73.75
16.11,64.09
11.24,64.71
88.68,24.22
15.62,48.57
48.03,30.21
47.29,30.63
41.69,42.32
44.3,40.52
59.13,23.38
37.88,21.52
48.78,33.96
65.3,17.99
24.51,52.03
96.06,4.65
42.61,49.24
99.21,0
87.79,12.29
6.68,65.84
68.78,26.68
36.34,50.44
78.41,14.56
29.2,32.07
22.18,48.41
5.65,62.38
12.9,53.82
62.93,26.45
72.09,15.42
70.68,29.31
1.58,68.29
49.54,40.65
79.03,4.02
6.53,60.8
71.27,24.24
28.25,56.29
69.51,23.42
17.67,67.24
17.12,54.16
80.6,14.41
60.99,27.97
28.07,53.33
15.6,73.66
