id,state,Brand
01,Alabama,B
02,Alaska,B
04,Arizona,B
05,Arkansas,B
06,California,B
08,Colorado,B
09,Connecticut,B
10,Delaware,B
11,Florida,B
12,Georgia,B
13,Hawaii,C
16,Idaho,C
17,Illinois,A
18,Indiana,C
19,Iowa,C
20,Kansas,A
21,Kentucky,C
22,Louisiana,B
23,Maine,B
24,Maryland,B
25,Massachusetts,C
26,Michigan,B
27,Minnesota,C
28,Mississippi,A
29,Missouri,B
30,Montana,B
31,Nebraska,C
32,Nevada,C
33,New Hampshire,B
34,New Jersey,B
35,New Mexico,B
36,New York,B
37,North Carolina,A
38,North Dakota,C
39,Ohio,A
40,Oklahoma,B
41,Oregon,B
42,Pennsylvania,A
44,Rhode Island,C
45,South Carolina,A
46,South Dakota,B
47,Tennessee,A
48,Texas,C
49,Utah,B
50,Vermont,B
51,Virginia,B
53,Washington,A
54,West Virginia,B
55,Wisconsin,B
56,Wyoming,B
