study_hours,exam_score,school
1.1,82,A
1.2,76,A
1.3,89,A
1.4,71,A
1.5,85,A
1.6,79,A
1.7,92,A
1.8,74,A
1.9,87,A
2.0,81,A
2.1,94,A
2.2,68,A
2.3,83,A
2.4,77,A
2.5,90,A
2.6,73,A
2.7,86,A
2.8,80,A
2.9,93,A
3.0,75,A
3.1,88,A
3.2,72,A
3.3,95,A
3.4,78,A
3.5,84,A
3.6,69,A
3.7,91,A
3.8,76,A
3.9,87,A
4.0,82,A
4.1,94,A
4.2,70,A
4.3,85,A
4.4,79,A
4.5,92,A
4.6,74,A
4.7,88,A
4.8,81,A
4.9,95,A
5.0,73,A
5.1,86,A
5.2,77,A
5.3,90,A
5.4,71,A
5.5,84,A
5.6,78,A
5.7,93,A
5.8,75,A
5.9,89,A
6.0,80,A
1.8,67,A
2.2,96,A
2.7,65,A
3.1,98,A
3.5,63,A
3.9,97,A
4.3,66,A
4.7,95,A
5.1,68,A
5.5,93,A
5.9,70,A
1.5,88,A
2.0,72,A
2.4,91,A
2.8,76,A
3.2,94,A
3.6,69,A
4.0,87,A
4.4,73,A
4.8,90,A
5.2,75,A
5.6,92,A
7.2,19,B
7.4,31,B
7.6,24,B
7.8,35,B
8.0,17,B
8.2,29,B
8.4,22,B
8.6,33,B
8.8,15,B
9.0,27,B
9.2,20,B
9.4,31,B
9.6,25,B
9.8,34,B
10.0,18,B
10.2,28,B
10.4,21,B
10.6,32,B
10.8,16,B
11.0,26,B
11.2,23,B
11.4,35,B
11.6,19,B
11.8,30,B
12.0,24,B
7.0,36,B
7.3,14,B
7.7,30,B
8.1,21,B
8.5,33,B
8.9,18,B
9.3,26,B
9.7,23,B
10.1,31,B
10.5,17,B
10.9,28,B
11.3,22,B
11.7,34,B
7.5,25,B
7.9,32,B
8.3,16,B
8.7,29,B
9.1,20,B
9.5,33,B
9.9,15,B
10.3,27,B
10.7,24,B
11.1,35,B
11.5,18,B
11.9,31,B
6.8,28,B
7.1,21,B
7.8,33,B
8.0,16,B
8.4,29,B
8.8,22,B
9.2,34,B
9.6,17,B
10.0,26,B
10.4,23,B
10.8,31,B
11.2,19,B
11.6,28,B
12.2,24,B
