experience_years,satisfaction_score,company
0.8,8.9,A
1.2,7.3,A
1.6,9.1,A
2.0,6.8,A
2.4,8.5,A
2.8,7.6,A
3.2,9.2,A
3.6,6.4,A
4.0,8.1,A
4.4,7.9,A
4.8,9.0,A
5.2,6.7,A
5.6,8.3,A
6.0,7.2,A
6.4,8.8,A
6.8,6.9,A
7.2,8.6,A
7.6,7.1,A
8.0,9.3,A
8.4,6.5,A
8.8,8.2,A
9.2,7.7,A
9.6,8.9,A
10.0,6.8,A
10.4,8.4,A
10.8,7.5,A
11.2,9.1,A
11.6,6.6,A
12.0,8.7,A
1.0,7.8,A
1.4,9.0,A
1.8,6.9,A
2.2,8.3,A
2.6,7.4,A
3.0,9.2,A
3.4,6.7,A
3.8,8.5,A
4.2,7.1,A
4.6,8.9,A
5.0,6.8,A
5.4,8.1,A
5.8,7.6,A
6.2,9.0,A
6.6,6.5,A
7.0,8.4,A
7.4,7.3,A
7.8,8.8,A
8.2,6.9,A
8.6,8.6,A
9.0,7.2,A
9.4,9.1,A
9.8,6.7,A
10.2,8.3,A
10.6,7.8,A
11.0,8.9,A
11.4,6.4,A
11.8,8.5,A
1.5,8.2,A
2.5,7.0,A
3.5,8.7,A
4.5,6.8,A
5.5,9.0,A
6.5,7.4,A
7.5,8.6,A
8.5,6.9,A
9.5,8.1,A
10.5,7.7,A
11.5,8.8,A
8.2,2.8,B
8.6,3.9,B
9.0,2.1,B
9.4,3.5,B
9.8,2.6,B
10.2,3.8,B
10.6,2.3,B
11.0,3.6,B
11.4,2.9,B
11.8,3.7,B
12.2,2.4,B
12.6,3.5,B
13.0,2.8,B
13.4,3.9,B
13.8,2.2,B
14.2,3.4,B
14.6,2.7,B
15.0,3.8,B
15.4,2.1,B
15.8,3.6,B
16.2,2.9,B
16.6,3.7,B
17.0,2.3,B
17.4,3.5,B
17.8,2.6,B
18.2,3.8,B
8.4,3.2,B
8.8,2.5,B
9.2,3.7,B
9.6,2.8,B
10.0,3.4,B
10.4,2.1,B
10.8,3.6,B
11.2,2.9,B
11.6,3.8,B
12.0,2.4,B
12.4,3.5,B
12.8,2.7,B
13.2,3.9,B
13.6,2.2,B
14.0,3.3,B
14.4,2.8,B
14.8,3.7,B
15.2,2.5,B
15.6,3.6,B
16.0,2.9,B
16.4,3.8,B
16.8,2.3,B
17.2,3.4,B
17.6,2.6,B
18.0,3.7,B
8.0,2.9,B
8.5,3.6,B
9.5,2.3,B
10.5,3.4,B
11.5,2.7,B
12.5,3.8,B
13.5,2.1,B
14.5,3.5,B
15.5,2.8,B
16.5,3.7,B
17.5,2.4,B
18.5,3.6,B
9.1,3.1,B
10.1,2.8,B
11.1,3.5,B
12.1,2.2,B
13.1,3.7,B
14.1,2.6,B
15.1,3.4,B
16.1,2.9,B
17.1,3.8,B
9.3,2.7,B
10.3,3.3,B
11.3,2.5,B
12.3,3.6,B
13.3,2.4,B
14.3,3.8,B
15.3,2.1,B
16.3,3.4,B
17.3,2.8,B
