income_k,housing_cost_k,city
32,780,A
35,650,A
38,920,A
41,710,A
44,860,A
47,640,A
50,890,A
53,720,A
56,950,A
59,680,A
62,810,A
65,870,A
68,740,A
71,920,A
74,690,A
77,850,A
80,760,A
83,910,A
86,680,A
89,840,A
92,770,A
95,900,A
98,720,A
30,840,A
33,690,A
36,930,A
39,750,A
42,820,A
45,670,A
48,880,A
51,760,A
54,940,A
57,700,A
60,870,A
63,730,A
66,920,A
69,680,A
72,850,A
75,790,A
78,910,A
81,720,A
84,860,A
87,740,A
90,930,A
93,680,A
96,820,A
99,770,A
31,720,A
37,890,A
43,650,A
49,870,A
55,740,A
61,920,A
67,690,A
73,850,A
79,760,A
85,910,A
91,720,A
97,840,A
34,950,A
40,680,A
46,820,A
52,740,A
58,880,A
64,690,A
70,860,A
76,770,A
82,920,A
88,650,A
94,840,A
100,780,A
75,1520,B
78,1340,B
81,1680,B
84,1420,B
87,1590,B
90,1360,B
93,1710,B
96,1450,B
99,1620,B
102,1380,B
105,1740,B
108,1470,B
111,1650,B
114,1390,B
117,1770,B
120,1480,B
123,1680,B
126,1420,B
129,1800,B
132,1510,B
135,1720,B
138,1440,B
141,1830,B
144,1540,B
147,1750,B
150,1460,B
72,1680,B
76,1420,B
80,1590,B
85,1350,B
89,1740,B
94,1480,B
98,1620,B
103,1370,B
107,1770,B
112,1510,B
116,1650,B
121,1390,B
125,1800,B
130,1540,B
134,1720,B
139,1460,B
143,1850,B
148,1580,B
152,1750,B
74,1590,B
79,1430,B
83,1720,B
88,1360,B
92,1680,B
97,1490,B
101,1610,B
106,1340,B
110,1750,B
115,1470,B
119,1640,B
124,1380,B
128,1770,B
133,1520,B
137,1690,B
142,1410,B
146,1800,B
151,1550,B
77,1450,B
82,1730,B
86,1390,B
91,1660,B
95,1480,B
100,1820,B
104,1540,B
109,1710,B
113,1420,B
118,1790,B
122,1510,B
127,1740,B
131,1460,B
136,1830,B
140,1570,B
145,1760,B
149,1490,B
