training_hours,productivity_score,department
3,89,A
5,76,A
7,92,A
9,68,A
11,85,A
13,79,A
15,94,A
17,71,A
19,87,A
21,83,A
23,96,A
25,74,A
27,91,A
29,66,A
31,88,A
33,82,A
35,95,A
37,73,A
39,90,A
41,77,A
43,93,A
45,69,A
47,86,A
49,84,A
51,97,A
53,72,A
55,89,A
57,75,A
59,92,A
61,68,A
63,85,A
65,81,A
67,94,A
69,70,A
71,88,A
73,78,A
75,91,A
77,67,A
79,87,A
4,82,A
6,93,A
8,75,A
10,89,A
12,71,A
14,86,A
16,80,A
18,95,A
20,74,A
22,90,A
24,67,A
26,84,A
28,79,A
30,92,A
32,73,A
34,88,A
36,76,A
38,94,A
40,69,A
42,85,A
44,81,A
46,91,A
48,68,A
50,87,A
52,78,A
54,93,A
56,72,A
58,89,A
60,76,A
62,94,A
64,70,A
66,86,A
68,83,A
70,91,A
72,74,A
74,88,A
76,77,A
78,95,A
80,71,A
35,67,B
37,59,B
39,74,B
41,52,B
43,68,B
45,61,B
47,75,B
49,48,B
51,63,B
53,57,B
55,71,B
57,44,B
59,66,B
61,54,B
63,72,B
65,49,B
67,64,B
69,58,B
71,73,B
73,46,B
75,69,B
77,55,B
79,74,B
81,47,B
83,62,B
85,56,B
87,71,B
89,43,B
91,67,B
93,53,B
95,72,B
97,45,B
99,65,B
101,51,B
103,70,B
105,42,B
107,64,B
109,48,B
34,63,B
36,71,B
38,46,B
40,68,B
42,54,B
44,73,B
46,49,B
48,66,B
50,58,B
52,74,B
54,44,B
56,69,B
58,52,B
60,75,B
62,47,B
64,65,B
66,59,B
68,72,B
70,43,B
72,67,B
74,56,B
76,73,B
78,48,B
80,64,B
82,57,B
84,71,B
86,45,B
88,68,B
90,54,B
92,74,B
94,46,B
96,63,B
98,59,B
100,72,B
102,44,B
104,66,B
106,55,B
108,73,B
110,49,B
