region_index,income,sector
2.6263,3.1655,Agriculture
6.0574,10.385,Manufacturing
9.6765,23.475,Services
3.9444,9.7621,Manufacturing
9.1164,8.648,Tech
2.6064,23.153,Services
8.6946,25.763,Manufacturing
4.0047,14.966,Manufacturing
9.2211,20.985,Manufacturing
2.5641,22.005,Manufacturing
0.57964,16.128,Tech
3.3608,12.003,Manufacturing
2.0957,9.284,Agriculture
5.7517,26.225,Agriculture
1.9117,24.909,Services
7.7592,24.052,Services
0.91415,22.689,Services
1.0649,23.427,Services
1.1222,7.174,Agriculture
4.6775,12.995,Tech
7.4354,27.737,Agriculture
1.4101,26.971,Tech
9.565,21.436,Services
3.8563,10.366,Agriculture
5.4867,22.395,Services
3.6004,26.727,Services
5.6001,23.64,Agriculture
2.0674,18.822,Tech
8.3551,20.008,Services
3.5182,20.779,Manufacturing
3.353,24.558,Tech
4.7791,19.585,Tech
9.3195,23.608,Manufacturing
0.85573,8.4785,Tech
3.9576,25.302,Services
7.7913,22.404,Services
1.9101,24.591,Tech
0.77574,22.959,Services
6.2926,6.29,Tech
5.5879,17.302,Tech
5.5618,4.6872,Manufacturing
8.4536,8.1704,Agriculture
2.4156,29.665,Agriculture
4.9837,10.338,Agriculture
9.3227,26.233,Agriculture
2.1232,21.495,Services
0.074515,13.277,Manufacturing
2.8485,25.731,Agriculture
2.6549,29.959,Agriculture
3.9584,0.67826,Agriculture
4.5673,0.96742,Tech
5.3887,28.395,Tech
4.6087,26.624,Agriculture
1.7566,28.039,Agriculture
2.0986,28.296,Manufacturing
8.7571,21.303,Services
2.3505,19.854,Manufacturing
7.1217,8.2444,Services
7.0461,25.446,Services
5.7592,24.771,Services
2.0991,18.366,Manufacturing
1.3976,23.009,Agriculture
3.6968,23.49,Services
7.1029,28.106,Agriculture
6.8338,7.6369,Manufacturing
6.5287,8.3878,Manufacturing
3.6384,21.568,Services
9.4258,17.959,Manufacturing
3.0353,9.4651,Agriculture
1.3475,21.413,Tech
6.0208,6.6884,Agriculture
4.831,2.5281,Manufacturing
8.7078,23.442,Services
7.5292,7.8686,Agriculture
7.9471,22.8,Services
3.4986,0.023689,Tech
1.423,16.021,Manufacturing
2.3196,10.253,Agriculture
6.8566,10.614,Agriculture
7.3035,24.591,Tech
7.8631,26.745,Agriculture
5.8276,23.593,Agriculture
3.435,0.027693,Tech
6.0123,0.35822,Agriculture
0.33469,22.857,Tech
4.0624,6.731,Manufacturing
7.7511,29.261,Agriculture
4.7339,26.557,Agriculture
7.9399,7.5579,Manufacturing
8.4032,8.5551,Agriculture
2.4244,23.168,Agriculture
7.4589,24.875,Agriculture
5.3591,0.33503,Manufacturing
9.3926,1.7668,Tech
0.13969,25.472,Manufacturing
2.2134,23.328,Agriculture
1.2524,23.503,Services
4.2075,10.23,Manufacturing
8.8022,29.606,Tech
7.8687,24.203,Services
7.5165,10.34,Manufacturing
5.26,26.621,Manufacturing
4.8288,20.744,Services
5.5439,17.364,Agriculture
8.1869,3.9402,Tech
8.4395,4.787,Manufacturing
6.5365,19.126,Agriculture
3.3532,22.654,Services
0.10563,15.468,Agriculture
2.0654,17.907,Agriculture
5.7888,23.219,Services
8.4552,24.267,Services
7.8052,23.641,Services
3.7978,3.1556,Tech
1.7677,23.266,Services
1.1194,28.431,Tech
4.5592,27.343,Agriculture
8.0228,21.792,Services
0.0010559,12.014,Agriculture
9.2484,22.4,Services
7.1324,14.423,Agriculture
7.9654,21.106,Services
3.2387,21.49,Services
4.9697,19.619,Tech
2.6213,10.883,Tech
5.2749,16.668,Manufacturing
6.2821,1.8758,Manufacturing
3.5043,0.88631,Manufacturing
7.6794,23.303,Services
8.1905,4.5714,Tech
6.633,22.847,Services
0.71971,18.58,Manufacturing
7.7734,25.586,Agriculture
5.7063,24.473,Manufacturing
8.8033,25.334,Tech
4.9566,7.2404,Agriculture
0.62501,19.661,Agriculture
4.6553,12.148,Manufacturing
1.8069,5.7393,Agriculture
2.6882,6.0604,Tech
5.886,5.1907,Agriculture
6.6523,6.8163,Manufacturing
0.91799,2.6645,Manufacturing
4.4822,21.826,Services
3.2583,27.285,Agriculture
0.029241,8.0047,Manufacturing
6.2102,8.0382,Tech
7.2312,9.3286,Tech
5.1355,19.781,Manufacturing
6.4113,16.514,Tech
5.4716,9.6658,Tech
8.8473,10.075,Manufacturing
7.5673,1.4919,Agriculture
8.6385,19.77,Services
5.372,23.045,Services
4.5148,13.315,Agriculture
3.2845,25.62,Services
3.0675,21.742,Services
4.6246,28.212,Manufacturing
5.7365,23.705,Services
0.15926,13.998,Tech
2.7898,24.449,Services
9.977,22.716,Services
5.5846,22.164,Services
3.9515,9.1457,Agriculture
1.7541,22.489,Tech
2.4903,27.102,Tech
3.1786,22.661,Services
7.4742,0.40814,Manufacturing
7.3827,1.0218,Agriculture
1.0724,17.207,Tech
4.3854,4.904,Agriculture
3.0878,0.92566,Manufacturing
6.5879,21.232,Services
4.7449,20.227,Tech
6.0585,16.597,Manufacturing
2.6407,15.703,Manufacturing
6.0768,23.557,Services
2.5089,3.4018,Agriculture
5.4835,12.794,Agriculture
0.85042,24.109,Agriculture
8.3462,22.905,Services
9.1879,1.154,Agriculture
5.9739,4.1107,Agriculture
0.99693,29.482,Agriculture
1.9415,23.416,Manufacturing
6.477,26.18,Tech
8.727,14.507,Tech
3.6291,23.516,Services
7.6364,26.356,Tech
8.9904,7.8621,Manufacturing
6.4559,7.841,Manufacturing
9.3568,19.171,Manufacturing
7.7689,0.75089,Manufacturing
8.4795,1.5858,Agriculture
8.1353,29.802,Manufacturing
2.2,8.6947,Agriculture
9.3116,13.714,Tech
6.0794,1.7343,Manufacturing
8.9389,13.85,Agriculture
6.4578,28.274,Agriculture
3.8398,13.699,Agriculture
1.5976,23.57,Services
2.7111,27.896,Manufacturing
2.1724,23.638,Services
0.40692,23.273,Services
8.7137,0.55255,Manufacturing
1.9808,12.414,Services
3.4842,23.898,Tech
6.1167,4.4247,Manufacturing
4.8474,2.703,Manufacturing
0.19391,24.05,Services
6.741,9.8934,Manufacturing
5.2914,29.579,Manufacturing
7.83,10.073,Manufacturing
3.1148,23.174,Services
8.3305,9.7374,Agriculture
5.1467,13.694,Manufacturing
5.0567,28.071,Tech
1.1773,5.8523,Agriculture
9.0731,19.763,Tech
8.1471,7.0067,Services
9.0193,22.427,Services
2.9989,0.32653,Manufacturing
1.2195,27.923,Manufacturing
9.2466,10.129,Manufacturing
3.992,25.67,Tech
6.9061,25.571,Agriculture
5.6251,24.635,Services
5.9746,28.086,Manufacturing
3.2318,22.814,Manufacturing
4.5225,12.802,Manufacturing
5.9599,28.781,Manufacturing
8.4797,13.556,Tech
1.1682,6.3779,Agriculture
0.61616,6.4324,Tech
2.7434,6.3822,Tech
3.06,12.935,Tech
6.0027,28.497,Agriculture
8.9963,20.015,Services
5.1114,25.936,Tech
1.0957,22.243,Services
2.0934,21.455,Agriculture
4.1329,23.207,Tech
3.2108,24.211,Services
