experience,salary,department
2.5785,6.1406,Sales
7.0581,15.048,Marketing
7.1127,8.3016,Sales
1.0281,5.4378,HR
6.0012,10.996,HR
5.231,3.9575,Engineering
5.2492,4.0902,Engineering
2.2761,1.9471,Sales
5.1631,11.112,Engineering
3.0612,2.4989,Engineering
2.6349,24.811,Engineering
5.3929,4.9078,Sales
9.9877,25.177,Marketing
0.12497,20.407,Sales
5.0271,23.897,Engineering
9.1901,0.41471,HR
8.9739,1.9134,Marketing
7.1932,18.428,Sales
5.7589,23.245,Marketing
4.4141,0.41072,Sales
0.18223,1.6481,Sales
6.0296,3.5499,HR
4.5988,0.14799,Engineering
2.4306,9.2331,Engineering
8.7346,17.878,Marketing
8.0799,17.784,Sales
4.1768,15.23,Engineering
6.4725,3.1096,HR
2.5052,0.64437,Engineering
9.0518,4.4813,Marketing
2.3824,23.257,Marketing
2.8441,1.1665,Marketing
8.1837,23.682,Engineering
7.5601,10.75,HR
8.3515,20.809,Engineering
2.9849,11.45,Sales
7.0684,7.951,HR
7.1209,5.2872,HR
3.135,8.3072,Engineering
3.4504,4.4204,Engineering
8.7198,27.677,Marketing
0.5234,18.806,Sales
1.1273,18.841,Sales
6.7361,26.818,Marketing
8.2792,14.216,Engineering
9.7566,3.3266,Marketing
9.1424,27.719,Marketing
2.5363,5.6679,HR
8.7974,4.2202,Marketing
7.6351,22.946,Marketing
7.3431,18.222,Engineering
3.4069,11.084,HR
4.6654,26.846,Marketing
0.20395,22.033,Marketing
1.9408,5.2731,Sales
5.2748,9.0134,HR
9.0234,2.7194,HR
7.344,5.3009,HR
0.27362,3.5597,Sales
1.4556,6.2424,Marketing
1.0024,25.598,Engineering
0.44626,12.677,HR
2.3314,12.726,Engineering
2.2908,10.632,HR
5.8086,24.778,Marketing
9.5512,5.5254,HR
5.0766,12.118,Marketing
0.26014,0.12033,Marketing
1.9301,2.6062,Engineering
0.47133,16.44,Sales
0.89481,4.4091,HR
4.8937,27.672,Engineering
8.2294,26.291,Sales
7.5517,29.877,Engineering
0.021326,14.628,Marketing
1.6229,5.6117,HR
2.6258,11.552,Engineering
4.2544,10.144,HR
5.0944,7.5332,Engineering
5.9438,6.9206,Engineering
9.7566,8.303,Sales
3.1405,26.538,Sales
1.791,5.2313,Marketing
9.1913,17.612,Sales
9.308,22.237,Engineering
3.1299,2.4697,HR
1.6178,2.9816,Marketing
3.9775,29.549,Sales
5.5508,22.201,Sales
2.3932,11.936,HR
5.136,6.8728,HR
5.7829,6.2015,Engineering
5.0315,1.3246,Marketing
2.5776,9.2729,HR
0.087578,26.763,Engineering
2.4243,4.7819,Marketing
1.2658,11.888,Engineering
6.3436,4.0447,HR
2.2038,3.181,Sales
5.7449,5.6627,Sales
2.7772,3.3692,HR
7.5782,25.106,Engineering
3.3044,5.8843,Sales
7.342,2.3813,Engineering
6.2039,19.977,Sales
3.9706,25.732,Engineering
5.1377,13.399,Engineering
5.0234,9.8729,HR
1.551,20.682,Sales
2.4855,27.092,Engineering
8.6915,26.893,Engineering
6.3149,16.459,Marketing
9.3246,23.116,Engineering
7.9934,18.64,Marketing
4.6663,3.2539,Marketing
4.0472,2.5826,Engineering
9.1074,2.7297,HR
6.0221,7.8397,Sales
0.42191,14.814,Sales
4.5685,10.963,Marketing
4.0823,15.335,Marketing
3.4683,27.216,Sales
1.1552,15.254,Sales
2.9278,13.843,Marketing
9.0055,18.406,Sales
3.7127,23.557,Sales
2.0375,28.385,Marketing
1.1884,6.7463,HR
2.6803,24.123,Marketing
5.0558,1.2884,HR
8.7019,24.135,Marketing
8.4252,13.477,Marketing
0.95863,20.899,Marketing
0.16007,8.7625,HR
3.5299,13.035,HR
1.5218,22.736,Marketing
7.494,6.2846,HR
3.773,9.3882,HR
7.5043,28.273,Marketing
0.43057,4.328,HR
8.1367,9.575,Sales
5.0486,3.9665,Marketing
2.6002,10.898,HR
0.88932,21.17,Engineering
9.9919,14.568,Engineering
2.0002,2.3751,HR
2.0711,2.3482,Marketing
9.5358,11.771,Sales
0.91056,10.208,Marketing
4.2019,2.3986,HR
1.7789,14.28,HR
5.101,29.613,Sales
4.2772,7.9475,Marketing
0.14572,15.812,Engineering
4.4089,10.834,Marketing
7.3792,17.073,Sales
0.01294,20.305,Engineering
1.8818,27.197,Sales
3.7783,0.54678,HR
0.69667,11.071,HR
2.4254,17.975,Sales
0.61035,25.313,Marketing
7.815,2.5634,HR
9.8456,8.7891,Sales
4.5169,6.1389,HR
9.2018,7.4402,Sales
8.3932,1.243,Engineering
3.5052,11.717,Sales
3.2524,25.541,Sales
2.2558,10.634,Engineering
6.3009,5.9904,HR
1.4429,19.702,Engineering
9.1508,28.617,Engineering
9.8043,10.827,Marketing
0.97793,6.4729,HR
0.87661,5.176,Sales
0.68103,18.906,Marketing
4.2825,7.2486,HR
1.155,28.819,Marketing
5.1525,7.861,HR
0.83934,22.094,Marketing
5.2072,6.6562,Engineering
0.67569,1.9658,Marketing
8.3178,21.149,Engineering
1.3672,6.4662,HR
8.5468,27.187,Engineering
4.6791,24.62,Sales
5.2764,3.7397,Marketing
1.1122,22.136,Marketing
4.1482,21.704,Sales
5.7174,21.977,Sales
3.1533,29.154,Marketing
1.603,13.727,HR
1.6568,16.661,Engineering
9.4612,16.142,Sales
9.219,18.997,Marketing
7.9434,3.1282,Engineering
5.5895,9.3994,HR
4.2741,12.596,Engineering
9.6458,29.405,Engineering
0.56085,13.032,HR
0.12858,28.063,Marketing
0.08203,0.86623,Engineering
7.0911,13.957,Marketing
1.9237,23.515,Sales
5.1608,14.708,Marketing
8.226,24.962,Marketing
9.1609,19.458,Engineering
1.9837,2.1364,Engineering
9.3625,9.1527,HR
1.6423,13.177,Sales
6.3966,24.971,Engineering
4.2554,0.071674,HR
4.9267,9.6845,Marketing
9.6894,12.25,Sales
7.2449,20.562,Marketing
6.6441,29.031,Sales
7.0078,20.697,Engineering
4.519,7.7944,HR
2.1435,7.6976,Engineering
5.008,4.0437,Marketing
0.14997,20.935,Sales
4.4971,10.215,Marketing
6.6389,11.518,Engineering
1.7759,20.692,Engineering
9.7818,0.91384,Engineering
4.9261,4.4826,Marketing
6.7231,7.4576,Sales
0.93151,12.775,HR
0.93521,24.501,Sales
7.7897,17.505,Marketing
3.7717,2.5503,HR
4.108,13.472,HR
1.5717,19.706,Sales
2.4608,24.929,Marketing
5.1486,1.0108,Sales
6.8265,8.063,Engineering
9.2526,29.994,Engineering
2.2839,6.6091,Engineering
5.4666,15.986,Sales
7.5194,4.2825,Sales
5.9377,1.8231,HR
1.7474,24.317,Sales
7.8932,3.6206,Marketing
3.6487,24.657,Engineering
1.6185,19.834,Sales
0.51744,1.7392,HR
7.1841,22.329,Marketing
5.2186,10.076,Marketing
4.7361,28.791,Sales
0.55423,11.739,Marketing
8.9545,28.683,Sales
8.6217,9.0298,Marketing
1.7904,5.3797,Marketing
4.6925,5.8319,HR
1.8931,19.537,Engineering
3.2306,13.234,HR
5.4306,3.7257,HR
9.5015,9.3004,Engineering
5.7103,22.443,Marketing
8.9959,23.296,Marketing
2.4905,10.631,Engineering
6.236,9.2967,Engineering
2,29.728,Sales
9.6344,8.6172,Sales
5.8403,6.7211,HR
5.6331,29.892,Sales
7.1035,27.101,Engineering
6.3746,5.2369,Marketing
0.030826,8.9778,Sales
9.2906,3.7745,HR
7.4337,13.293,Engineering
7.6759,26.864,Marketing
4.3268,1.7228,Marketing
2.1306,25.615,Sales
6.4751,21.573,Engineering
7.6853,5.9487,HR
5.459,2.8567,Sales
8.3765,20.481,Engineering
1.2166,2.7235,HR
5.3792,12.367,HR
9.515,20.689,Sales
5.7074,13.308,Marketing
4.458,4.9019,HR
2.8433,16.863,Sales
2.0856,20.611,Marketing
7.4762,10.444,Marketing
0.67741,28.779,Sales
6.9626,26.18,Engineering
2.196,14.52,Sales
4.4416,1.4137,HR
6.596,3.5655,Sales
1.956,26.841,Engineering
6.7592,8.6905,HR
0.056691,24.806,Marketing
0.70242,7.1593,Sales
5.4561,28.562,Sales
8.7269,12.907,HR
0.18642,21.236,Marketing
0.49474,1.4759,HR
5.8418,3.9375,HR
4.3958,13.587,Engineering
6.1917,1.576,Engineering
9.3083,15.03,Sales
5.2049,4.2534,Engineering
8.7862,5.2146,Engineering
0.21069,12.343,Marketing
3.84,4.3285,Engineering
6.0789,9.6154,HR
4.9369,9.5977,Sales
5.5686,1.7036,Sales
0.4872,4.9108,HR
5.4923,9.7427,HR
0.23261,23.859,Marketing
1.6662,2.7605,HR
6.9372,1.991,Sales
4.406,11.906,Engineering
7.2044,8.9429,Engineering
3.3459,10.927,Engineering
8.524,4.4637,HR
9.2381,29.938,Engineering
0.36766,19.3,Marketing
1.8846,10.625,Marketing
8.9389,24.092,Sales
6.2567,3.4499,HR
8.6648,5.8961,HR
3.5348,29.547,Engineering
8.8431,0.66674,Engineering
5.3627,28.249,Sales
1.6655,25.004,Marketing
6.7303,6.2581,Marketing
1.7864,26.423,Engineering
6.2463,13.658,Sales
5.7138,7.7798,HR
5.1729,27.357,Sales
4.8404,3.745,HR
4.5686,5.6745,Sales
7.9872,4.5446,HR
5.8034,29.26,Marketing
2.2509,4.0212,HR
8.8028,17.634,Marketing
4.9085,11.704,Sales
6.5986,2.5073,HR
8.2745,14.814,Engineering
2.4841,6.7028,Engineering
5.1262,7.1205,HR
1.5002,29.351,Engineering
3.5253,16.403,Engineering
8.2729,26.027,Engineering
7.7533,2.6775,Marketing
3.3064,0.88428,Sales
4.1473,9.7442,Engineering
4.8892,3.6602,Sales
0.97374,2.2035,Marketing
1.3263,5.7442,HR
3.0161,28.711,Marketing
6.6534,12.674,Marketing
8.2706,9.3707,HR
7.9938,10.497,Marketing
8.6209,2.5069,Sales
9.7037,8.6454,Engineering
8.1511,6.4194,HR
5.3365,20.483,Marketing
4.082,16.595,Sales
8.9319,1.4008,HR
4.6571,24.669,Engineering
4.4456,25.633,Sales
1.33,8.8539,Engineering
6.0465,29.418,Sales
3.2956,19.044,Marketing
0.0039991,8.8217,Engineering
2.6133,12.172,HR
6.432,6.5166,HR
5.0367,7.8695,HR
9.8903,29.686,Marketing
7.1484,24.172,Sales
5.9512,12.125,HR
6.1434,11.985,Sales
6.766,1.5548,Sales
2.0651,25.317,Sales
6.0861,2.3675,HR
2.8423,29.002,Engineering
4.4881,0.93847,Marketing
3.2139,29.627,Marketing
1.9835,21.268,Engineering
2.4934,8.3531,Sales
2.9626,2.7574,HR
0.3373,17.503,Engineering
4.4896,6.5942,Sales
0.49559,2.37,Sales
1.2005,14.853,Engineering
5.0918,4.3051,Sales
8.6872,29.722,Sales
6.787,6.5802,HR
8.8038,8.2917,Sales
3.445,12.498,Engineering
8.7282,6.2615,Sales
7.9309,9.6858,HR
1.7586,18.56,Sales
2.5983,4.1907,HR
1.4042,2.4769,Sales
5.3096,28.737,Sales
9.7218,1.0332,Marketing
7.2575,14.406,Engineering
8.2082,10.453,HR
2.5902,7.4445,Engineering
2.9193,15.046,Engineering
4.8857,7.4199,Marketing
4.4049,0.65942,Sales
9.9063,27.252,Marketing
6.0466,12.794,HR
7.8231,15.487,Marketing
4.5341,18.72,Marketing
0.87715,8.1857,Engineering
9.0227,21.011,Marketing
8.3157,18.632,Sales
1.4843,22.348,Engineering
7.1114,3.7265,Marketing
7.0018,15.329,Engineering
6.4978,15.276,Marketing
5.9248,3.7688,Sales
9.8688,3.6338,HR
5.0774,23.036,Engineering
6.5946,19.598,Engineering
8.8381,8.4252,Sales
8.2306,26.703,Marketing
5.5423,29.736,Engineering
1.6173,11.53,Marketing
5.0465,10.002,Sales
6.3577,24.077,Engineering
8.4081,27.837,Engineering
0.049333,26.46,Sales
1.6042,14.885,Sales
6.5134,6.4656,HR
5.1076,2.1452,Engineering
3.2363,22.671,Engineering
4.3101,22.129,Sales
4.5634,6.3088,HR
1.1319,1.0128,HR
7.4539,3.2534,Sales
9.7824,18.326,Engineering
4.8628,26.48,Sales
4.325,19.153,Sales
0.4387,29.677,Sales
1.9948,17.873,Engineering
1.1589,10.197,HR
5.209,28.409,Marketing
3.9873,23.401,Engineering
2.4991,0.14891,Engineering
6.0168,6.1337,HR
5.2315,4.9394,Marketing
5.2761,13.642,Sales
7.5968,2.4826,HR
9.7884,6.835,HR
0.32864,14.359,Marketing
9.4901,14.061,HR
4.4748,13.125,Sales
4.673,0.96573,Engineering
1.5042,28.571,Marketing
0.98505,26.275,Engineering
6.7329,6.0509,Marketing
1.9258,3.7816,Marketing
6.7449,10.769,HR
3.2721,10.658,HR
6.9413,0.58489,HR
2.936,5.506,HR
1.3135,14.768,Engineering
3.5977,29.258,Engineering
5.7151,27.573,Marketing
1.5171,8.7134,HR
9.4254,2.2697,Engineering
1.1481,20.276,Marketing
9.4151,5.0661,HR
8.9675,7.4982,HR
8.1346,4.4452,HR
1.0666,11.656,Sales
6.2125,8.3849,Engineering
0.61677,6.8638,Marketing
1.1694,7.6602,Marketing
0.56721,8.83,HR
0.31582,8.9639,Marketing
9.4644,4.4102,Engineering
5.7643,3.278,Marketing
0.20981,8.3195,Engineering
3.2001,26.889,Engineering
4.9481,10.89,Marketing
3.9041,13.683,Marketing
7.4995,29.569,Sales
2.4925,19.959,Engineering
7.6434,8.9145,Marketing
3.9936,3.9014,Engineering
3.0842,10.629,HR
8.4097,15.744,Sales
8.8067,7.4282,Sales
8.2069,2.3478,Sales
5.9327,16.321,Sales
3.8511,7.591,Sales
8.69,26.844,Marketing
3.2699,10.355,HR
4.4148,9.0453,Engineering
8.962,7.0976,HR
0.78663,1.1939,Engineering
4.5556,15.364,Engineering
8.2939,7.2609,Engineering
3.503,4.7978,Engineering
2.4552,27.082,Sales
4.1902,5.004,Sales
3.8714,11.499,HR
5.7855,22.753,Engineering
0.87334,11.611,HR
8.6041,7.7078,Marketing
8.4319,3.2884,Marketing
6.9929,16.118,Marketing
1.7572,24.871,Sales
4.6407,19.149,Marketing
4.4217,5.8143,HR
5.4698,10.893,Sales
0.12674,29.181,Sales
1.5387,16.288,Marketing
4.0613,4.647,Marketing
2.0521,25.987,Marketing
1.9163,1.7441,Engineering
2.5743,6.5047,Engineering
1.3305,18.957,Marketing
6.3107,26.741,Marketing
8.981,14.991,Engineering
4.3551,14.643,Engineering
8.4152,8.6629,Marketing
3.8725,6.1699,Marketing
1.0121,0.87405,HR
8.4243,29.655,Engineering
8.9367,8.3387,Sales
2.0852,10.276,HR
0.20824,11.451,Marketing
3.3943,3.3394,Sales
3.6898,13.04,Engineering
5.4603,22.746,Sales
2.7853,11.283,Sales
6.7024,4.8535,Marketing
5.7538,1.3968,Engineering
6.4749,9.5963,HR
0.3284,0.41335,HR
6.9681,3.6689,HR
1.2859,29.749,Marketing
4.2589,0.36602,Sales
6.597,25.819,Sales
2.6724,17.251,Engineering
6.1072,0.041194,HR
5.2437,4.671,Sales
7.5939,0.56806,HR
0.41821,11.966,Marketing
6.3536,15.485,Marketing
2.9313,19.235,Engineering
7.0977,10.186,HR
0.99847,13.203,Engineering
9.9925,14.056,Marketing
1.3302,12.47,HR
2.1762,6.3739,Sales
4.8508,25.819,Marketing
2.8648,2.3191,Marketing
4.7172,3.1769,HR
6.6341,4.638,HR
6.2432,15.983,Sales
5.9899,18.04,Engineering
4.115,11.629,HR
7.9346,25.707,Marketing
7.1596,19.25,Engineering
7.559,0.89624,Marketing
1.695,1.1939,HR
8.6225,20.736,Marketing
2.7766,6.2234,HR
0.75823,13.144,Sales
3.6245,8.6976,HR
5.038,29.078,Engineering
4.9463,19.405,Sales
2.1348,18.796,Marketing
9.9231,13.73,HR
5.8209,3.2023,HR
2.5683,22.881,Marketing
7.9927,21.084,Marketing
1.0842,17.266,Engineering
8.1817,11.77,HR
6.768,2.7559,Engineering
8.2859,21.37,Marketing
8.6717,8.4939,Sales
9.5104,5.2616,Sales
3.0941,10.497,Marketing
5.0234,7.4896,HR
3.0104,21.734,Marketing
6.1571,4.563,Engineering
2.6686,19.034,Marketing
0.7597,28.394,Sales
5.0828,11.127,Sales
1.1437,8.9515,Marketing
9.7965,23.056,Marketing
2.6154,20.195,Marketing
5.2611,1.8391,HR
5.0142,14.053,HR
1.6617,19.776,Sales
8.4073,21.184,Engineering
1.8547,1.9089,HR
3.5658,6.8641,Marketing
2.6979,6.5886,Engineering
9.6878,22.876,Marketing
5.804,12.398,Sales
6.9218,1.8738,HR
8.9257,27.247,Engineering
0.18124,1.1128,Sales
3.34,4.2763,Engineering
7.9843,8.6167,HR
8.1642,3.7694,HR
7.0988,0.77177,HR
2.7669,17.047,Marketing
4.9012,10.727,HR
5.4827,11.512,Marketing
3.8885,25.552,Engineering
5.2895,3.0892,Sales
9.2033,14.357,HR
2.2965,27.933,Marketing
2.7447,22.79,Sales
5.7548,19.799,Engineering
0.44531,29.61,Marketing
9.962,12.875,HR
6.9301,23.43,Sales
5.5415,4.9403,HR
6.81,12.761,HR
