month,humidity,season
4.8897,12.598,Fall
2.3853,2.8931,Winter
8.4876,6.9062,Fall
9.458,9.8403,Winter
7.1915,4.1867,Spring
2.665,7.6322,Summer
7.5469,16.13,Summer
8.5399,0.48628,Fall
8.9721,7.7493,Winter
6.3358,24.617,Fall
1.746,7.937,Spring
5.8961,22.27,Winter
5.7766,7.8186,Spring
1.6149,13.229,Fall
8.0195,25.506,Summer
0.33805,15.641,Spring
2.8796,21.33,Winter
9.705,29.786,Summer
4.6261,24.117,Fall
9.298,29.562,Fall
8.4164,5.2297,Winter
4.6961,2.9181,Winter
3.3252,10.859,Winter
8.7455,8.5327,Summer
6.8493,14.208,Fall
5.3941,5.2243,Spring
3.7461,12.848,Spring
9.0504,2.3992,Winter
5.4966,7.1228,Fall
6.9438,28.346,Winter
6.5984,20.945,Winter
4.9588,16.644,Winter
8.8506,20.099,Spring
3.4098,10.492,Winter
2.9933,23.882,Winter
7.8298,28.43,Winter
1.0397,19.033,Spring
3.509,11.767,Fall
8.5957,16.099,Fall
5.7133,16.151,Spring
2.7237,18.393,Spring
5.4042,25.943,Winter
7.9265,24.744,Fall
9.872,18.129,Spring
8.5211,9.023,Spring
2.2239,26.493,Summer
5.4259,21.483,Fall
2.1252,2.9989,Spring
8.0992,6.2976,Spring
2.6879,20.102,Winter
8.8172,6.8436,Spring
8.6806,18.693,Winter
7.2926,27.114,Summer
2.1248,18.654,Fall
6.6954,3.3998,Summer
8.1229,11.839,Spring
3.1364,29.231,Summer
9.3258,23.055,Fall
4.1899,20.345,Summer
6.7465,4.0784,Spring
5.8797,14.446,Spring
5.9973,13.176,Spring
8.7742,13.83,Winter
1.5836,13.235,Fall
3.7613,6.1061,Winter
7.2041,12.436,Winter
5.3372,5.1965,Summer
8.8279,26.53,Winter
1.0954,9.8381,Winter
6.4167,1.6041,Summer
4.1544,14.606,Summer
2.2705,1.0086,Summer
3.12,2.0792,Winter
3.845,6.5023,Summer
0.24733,15.876,Summer
0.90796,3.1108,Winter
0.95347,23.455,Fall
2.5983,22.812,Winter
2.4578,24.896,Summer
5.6934,13.248,Spring
6.7312,3.1616,Spring
0.99803,5.52,Spring
4.1149,9.8219,Summer
5.8853,0.23351,Fall
7.6322,0.75582,Spring
5.0203,17.854,Spring
8.0302,10.95,Spring
8.5527,22.993,Fall
7.4989,24.26,Fall
9.8586,25.92,Winter
7.5629,15.503,Fall
7.7183,1.5518,Fall
1.074,0.89699,Summer
6.8303,20.32,Summer
2.875,7.9941,Fall
5.1258,28.646,Summer
4.5462,19.334,Winter
8.4462,17.785,Winter
1.9531,2.3173,Summer
8.7369,7.1896,Fall
7.2983,14.549,Summer
2.8496,1.5802,Fall
7.4631,5.4542,Spring
2.7073,28.507,Summer
8.8322,22.567,Winter
0.20531,20.446,Fall
9.1829,4.4068,Spring
9.5492,11.285,Summer
7.3393,20.16,Fall
1.2572,15.093,Spring
8.0982,5.8993,Spring
7.4953,28.091,Fall
3.2148,26.198,Fall
2.19,18.232,Spring
0.41307,17.373,Spring
0.44646,10.221,Fall
0.90976,4.6138,Spring
5.7404,17.925,Winter
7.7641,28.795,Fall
7.8477,16.713,Spring
6.8349,6.7219,Spring
8.6557,17.94,Fall
2.3767,1.0168,Spring
9.8893,26.933,Winter
4.71,29.263,Winter
0.60391,1.1742,Fall
9.7437,26.7,Summer
6.8484,4.1784,Fall
6.0868,25.079,Winter
1.7853,9.8799,Winter
7.0318,5.6925,Spring
5.9637,23.619,Summer
2.448,0.59394,Fall
0.68936,11.417,Summer
4.0941,3.4406,Spring
5.0922,12.652,Summer
9.2785,27.906,Fall
2.8576,19.703,Summer
9.2189,11.626,Fall
9.5676,0.51015,Fall
5.4284,20.127,Fall
1.5387,29.914,Winter
3.505,7.7128,Fall
4.2803,12.989,Summer
8.9814,15.564,Winter
7.895,16.344,Winter
3.7509,3.7448,Spring
3.0865,19.22,Spring
8.1515,6.8799,Fall
8.9396,9.5509,Fall
1.0722,17.462,Summer
5.2806,16.359,Fall
6.2805,2.8869,Spring
7.7474,28.854,Summer
3.5272,21.399,Summer
4.4063,22.051,Summer
3.6246,23.359,Summer
4.7505,0.20275,Winter
5.9528,22.115,Fall
5.8707,25.657,Winter
7.7113,8.6045,Spring
0.98851,5.1066,Fall
9.1597,13.358,Summer
9.3438,7.1795,Spring
6.8454,11.951,Spring
8.4406,8.5509,Fall
5.2776,4.8343,Winter
5.3475,0.61071,Spring
7.6873,17.357,Summer
2.7178,6.8251,Spring
8.0865,22.035,Spring
6.1666,16.209,Winter
0.18716,21.58,Fall
7.6414,7.4959,Spring
9.1974,26.913,Winter
7.9635,10.275,Fall
3.4307,18.73,Spring
0.15596,17.896,Winter
1.3539,24.691,Fall
5.5369,23.548,Winter
2.9922,7.9215,Winter
7.9316,22.236,Spring
2.502,8.696,Summer
6.8594,19.258,Spring
9.029,2.6612,Fall
4.4948,23.442,Winter
0.38887,23.869,Winter
8.6896,18.43,Summer
4.855,3.1138,Winter
1.4383,4.1484,Spring
9.3798,26.276,Fall
5.7703,3.4012,Winter
5.2146,10.466,Winter
