age,income,region
4.1694,13.2709,North
9.61426,12.4506,North
7.54734,18.5509,North
6.28733,18.538,North
2.10438,23.5852,North
2.10415,20.596,North
1.17889,23.5598,North
8.81537,17.099,North
6.31054,12.7204,North
7.32128,13.9875,North
0.824524,15.5334,North
9.79565,18.6686,North
8.49659,19.2349,North
2.6366,13.4502,North
2.34824,21.5698,North
2.36317,24.4018,North
3.50509,13.2998,North
5.58895,16.6158,North
4.71188,22.377,North
3.38212,11.9737,North
6.41201,17.9723,North
1.94821,16.1961,North
3.39077,23.4248,North
4.09212,22.9406,North
4.93986,20.6678,North
8.04991,14.608,North
2.51692,22.5918,North
5.48952,19.6454,North
6.22831,13.755,North
1.06896,24.9554,North
6.3713,12.2174,North
2.24146,20.4164,North
1.24474,17.4218,North
9.59696,12.5349,North
9.75522,12.1424,North
8.26936,15.777,North
3.5086,15.6712,North
1.553,22.5227,North
7.09601,12.4121,North
4.78944,12.6408,North
1.78326,20.4686,North
5.30942,20.4974,North
0.954972,16.5739,North
9.22308,13.6231,North
3.07547,23.3882,North
6.89083,17.95,North
3.57566,15.0364,North
5.54465,12.6301,North
5.79641,20.1358,North
2.37688,14.7369,North
9.79258,16.2207,North
7.955,13.8251,North
9.50826,17.3358,North
9.08612,15.7608,North
6.28015,21.3876,North
9.34171,12.3808,North
1.46626,23.2649,North
2.48204,17.7446,North
1.0574,19.8921,North
3.70438,18.214,North
4.303,22.3379,North
3.19424,23.8694,North
8.46157,16.5654,North
4.00132,19.169,North
3.28483,17.6586,North
5.75848,18.227,North
1.96174,16.2231,North
8.21076,11.953,North
1.33451,18.5214,North
9.95608,12.9083,North
7.92772,12.5038,North
2.50787,15.4863,North
0.682184,16.8863,North
8.33611,12.6605,North
7.3098,19.9065,North
7.51912,14.6472,North
7.9185,12.8685,North
1.32972,22.793,North
4.0175,14.8216,North
1.72496,24.2257,North
8.78633,16.1257,North
6.52016,13.073,North
3.75698,16.7068,North
1.23062,24.2018,North
3.56879,22.4151,North
3.70298,17.9,North
7.52478,17.3522,North
6.65492,12.2684,North
9.01416,18.7621,North
5.09243,14.7069,North
1.76016,24.6941,North
7.37016,16.6815,North
7.81942,14.6461,North
5.93407,16.4013,North
7.91564,13.1804,North
5.29637,13.5696,North
5.56982,13.9766,North
4.67027,15.468,North
0.870211,24.1405,North
1.64957,18.3466,North
0.927006,15.5684,North
6.64408,20.3681,North
3.60066,22.6746,North
5.43599,21.0336,North
9.20651,18.7403,North
2.98582,15.8823,North
4.50812,15.2734,North
7.76996,18.0802,North
2.79215,22.0094,North
1.35746,16.0365,North
3.36815,20.2405,North
2.15354,15.7482,North
9.41564,13.3181,North
8.26674,14.2247,North
6.61566,15.6144,North
8.8653,13.8084,North
8.2247,13.2035,North
2.39309,23.8534,North
9.06468,12.9993,North
5.72678,13.0491,North
8.26031,17.9604,North
9.09806,17.5618,North
3.63514,23.367,North
1.66999,23.0726,North
2.78399,21.4759,North
4.66616,18.8142,North
8.36024,12.7045,North
8.7639,11.9991,North
0.695698,19.5261,North
5.45657,13.6059,North
4.57453,19.0213,North
2.72892,19.0305,North
1.76273,14.033,North
3.82046,15.5561,North
9.54049,14.4042,North
3.68426,13.2874,North
5.53258,20.5134,North
7.27352,14.4671,North
4.0663,17.8455,North
9.81334,13.1138,North
9.72512,16.8646,North
3.00935,15.8193,North
5.329,18.6039,North
3.4733,20.3804,North
3.32174,14.8785,North
0.978582,24.2159,North
6.39038,19.2994,North
5.38032,18.375,North
1.11647,24.553,North
3.26321,22.9065,North
9.21311,15.8221,North
2.89386,23.367,North
1.99926,22.0538,North
5.25533,18.4154,North
9.9444,14.166,North
2.91743,22.9853,North
6.98168,12.1506,North
7.8273,17.8194,North
2.87568,23.7786,North
7.51164,12.8536,North
4.10555,19.6486,North
6.60529,12.9052,North
6.61686,13.0268,North
5.69308,18.8563,North
1.48324,16.343,North
8.52361,17.3578,North
3.66137,22.3129,North
2.3926,18.8894,North
1.01532,15.1441,North
6.21394,13.0528,North
7.03298,16.8313,North
0.786755,26.5414,North
5.46928,17.1434,North
2.77038,16.8806,North
6.72689,16.3341,North
2.27777,20.3091,North
7.15936,18.2918,North
4.28465,14.34,North
9.4821,15.5268,North
1.92958,19.7591,North
3.85308,23.0772,North
1.70232,17.7267,North
9.36835,14.9437,North
8.92086,16.9254,North
