study_hours,test_score,grade_level
6.3395,17.835,ninth
0.69197,24.39,ninth
2.4485,28.385,tenth
2.9949,21.607,ninth
2.7185,6.1387,twelfth
9.6985,18.204,twelfth
5.8455,9.3376,eleventh
6.1138,6.3412,ninth
6.2321,20.086,tenth
5.8198,3.1486,eleventh
1.618,23.762,ninth
6.2725,21.391,tenth
1.6117,9.7769,twelfth
0.76911,9.8152,ninth
0.68578,14.244,ninth
0.52267,5.3008,eleventh
2.9855,1.106,eleventh
4.7348,20.089,tenth
3.7615,29,twelfth
4.309,12.455,eleventh
5.2866,12.892,tenth
0.56048,1.8336,tenth
7.9833,13.154,twelfth
4.5197,8.1703,tenth
2.3042,10.531,twelfth
2.7228,6.9336,eleventh
1.5451,26.588,tenth
4.1376,21.616,ninth
9.5981,22.383,tenth
2.8543,23.095,tenth
0.64959,13.661,eleventh
1.8335,13.54,twelfth
6.4379,3.519,eleventh
2.4661,18.512,twelfth
5.15,8.3038,twelfth
2.7445,9.6592,twelfth
2.544,15.241,twelfth
6.0443,21.07,ninth
9.468,29.612,ninth
4.2121,23.52,ninth
5.468,0.029387,eleventh
8.5548,0.052777,eleventh
6.609,10.159,eleventh
4.0072,13.022,tenth
5.1586,19.291,tenth
6.16,11.822,twelfth
2.4614,3.7275,twelfth
8.7552,7.0989,twelfth
8.5565,1.6301,eleventh
1.0479,5.5361,tenth
9.2074,3.406,twelfth
3.8701,27.821,twelfth
5.8993,14.323,eleventh
7.9284,1.8558,tenth
2.6956,11.187,eleventh
1.994,9.769,ninth
8.2829,9.3679,eleventh
0.7942,24.95,ninth
7.0974,16.619,twelfth
7.136,25.427,twelfth
3.4199,24.934,ninth
8.1886,21.096,ninth
2.742,4.5931,eleventh
5.4024,1.2585,eleventh
0.11783,27.534,tenth
1.8338,5.4619,ninth
8.8819,6.3255,eleventh
3.4154,12.43,tenth
6.1495,0.10766,tenth
2.6538,22.554,tenth
5.2591,6.2873,twelfth
8.7054,5.3639,ninth
6.59,9.2035,eleventh
3.913,1.3881,eleventh
1.2482,9.0007,tenth
9.1969,11.917,ninth
8.2606,9.018,ninth
3.0266,5.4689,eleventh
0.38769,28.737,twelfth
4.0383,12.804,eleventh
9.6233,2.1932,eleventh
7.0003,23.195,tenth
3.8188,13.703,ninth
1.674,28.265,ninth
3.8482,6.5487,eleventh
7.0724,12.139,eleventh
6.7688,12.149,twelfth
6.0143,6.5215,twelfth
9.2261,4.4144,ninth
9.4405,11.403,tenth
7.8694,25.3,tenth
2.5146,2.4333,twelfth
5.2056,26.939,twelfth
9.368,15.792,ninth
1.5491,28.427,ninth
3.2271,6.6917,ninth
8.2942,3.3762,ninth
7.7188,9.3611,tenth
8.2216,2.6036,eleventh
5.3543,15.735,twelfth
5.2803,2.0993,twelfth
3.5756,9.0969,ninth
7.9344,3.6694,eleventh
7.7212,27.551,ninth
8.9877,17.43,tenth
7.1696,14.119,eleventh
4.1501,1.3872,ninth
3.0889,14.211,ninth
3.2125,8.5073,ninth
7.7381,14.264,eleventh
6.8369,11.479,tenth
4.5691,5.5916,twelfth
6.1398,18.817,tenth
9.7469,0.4486,ninth
4.3163,6.6537,tenth
5.8252,26.983,ninth
5.7706,27.42,twelfth
0.52284,25.531,twelfth
9.452,15.74,twelfth
2.1793,6.9323,eleventh
2.972,3.0875,tenth
5.7968,24.384,tenth
9.2856,5.3458,eleventh
8.6629,27.757,ninth
6.0156,26.532,ninth
5.7651,15.49,tenth
3.3366,9.4393,eleventh
9.163,13.867,eleventh
2.6228,2.055,twelfth
5.1045,6.0431,ninth
4.2336,17.836,twelfth
4.9666,13.847,eleventh
7.7704,5.1377,twelfth
8.3462,5.1077,eleventh
5.5504,6.513,twelfth
0.9376,10.404,eleventh
0.62086,28.045,tenth
7.6098,7.2085,eleventh
2.8618,11.512,eleventh
7.2127,9.2458,eleventh
4.9198,13.433,eleventh
4.758,15.401,ninth
2.3832,29.161,tenth
5.3295,4.9358,eleventh
9.8841,15.921,twelfth
7.31,1.0582,eleventh
8.3184,27.949,twelfth
5.4531,24.45,twelfth
6.753,4.1405,eleventh
7.2376,7.1415,eleventh
3.78,13.421,tenth
0.29678,7.8838,eleventh
8.3368,24.842,tenth
8.4181,28.897,ninth
5.3932,14.618,twelfth
3.8041,27.175,tenth
4.2094,10.39,twelfth
4.9844,14.377,eleventh
7.0182,29.175,tenth
4.2644,10.828,twelfth
4.602,25.947,tenth
1.8923,7.0088,twelfth
0.62542,17.834,twelfth
4.8656,8.1354,eleventh
3.9237,12.422,eleventh
1.1332,0.16211,eleventh
9.8012,7.3248,ninth
7.0124,13.877,twelfth
2.3841,3.7932,eleventh
9.5329,4.4783,tenth
1.9276,1.2479,eleventh
1.6195,25.399,tenth
1.2913,9.986,tenth
2.7131,0.55436,ninth
3.2161,25.781,twelfth
1.5206,17.721,ninth
3.1625,14.59,tenth
4.0952,0.4076,eleventh
2.3243,13.739,ninth
6.569,3.1229,tenth
8.7795,13.269,tenth
6.4025,27.281,tenth
2.4472,8.8585,twelfth
8.6091,6.1652,twelfth
6.4964,24.943,twelfth
7.3459,9.7438,twelfth
8.0935,12.083,eleventh
7.3679,21.165,twelfth
3.7519,9.545,twelfth
2.418,11.79,eleventh
4.5671,20.836,tenth
8.13,25.026,ninth
6.6113,0.18588,twelfth
5.6447,12.681,tenth
8.0739,26.137,twelfth
