temperature,humidity,season
3.45796,18.554,Spring
7.97372,17.534,Spring
6.25951,25.1192,Spring
5.21448,25.1032,Spring
1.74529,31.3789,Spring
1.74511,27.6621,Spring
0.977731,31.3474,Spring
7.31116,23.3138,Spring
5.23373,17.8695,Spring
6.07202,19.445,Spring
0.683832,21.3671,Spring
8.12417,25.2655,Spring
7.04677,25.9697,Spring
2.18671,18.7768,Spring
1.94755,28.873,Spring
1.95994,32.3944,Spring
2.907,18.5898,Spring
4.63528,22.7131,Spring
3.90787,29.8768,Spring
2.80501,16.941,Spring
5.3179,24.3998,Spring
1.61578,22.1912,Spring
2.81218,31.1795,Spring
3.39386,30.5774,Spring
4.09695,27.7514,Spring
6.67632,20.2165,Spring
2.08745,30.1437,Spring
4.55281,26.4801,Spring
5.16554,19.1559,Spring
0.886555,33.0828,Spring
5.28414,17.244,Spring
1.85898,27.4388,Spring
1.03234,23.7153,Spring
7.95939,17.6388,Spring
8.09064,17.1507,Spring
6.85831,21.67,Spring
2.90991,21.5385,Spring
1.288,30.0579,Spring
5.88518,17.486,Spring
3.9722,17.7704,Spring
1.47897,27.5037,Spring
4.40345,27.5396,Spring
0.79202,22.661,Spring
7.6493,18.9918,Spring
2.55069,31.1339,Spring
5.71502,24.372,Spring
2.96553,20.7492,Spring
4.59853,17.7572,Spring
4.80734,27.0898,Spring
1.9713,20.3768,Spring
8.12162,22.2218,Spring
6.5976,19.2431,Spring
7.88582,23.6083,Spring
7.5357,21.65,Spring
5.20854,28.6465,Spring
7.74769,17.4472,Spring
1.21606,30.9806,Spring
2.05852,24.1166,Spring
0.876968,26.7869,Spring
3.07228,24.7003,Spring
3.56876,29.828,Spring
2.6492,31.7323,Spring
7.01773,22.6504,Spring
3.31856,25.8878,Spring
2.72433,24.0096,Spring
4.77588,24.7165,Spring
1.627,22.2248,Spring
6.80972,16.9153,Spring
1.10679,25.0825,Spring
8.25723,18.1031,Spring
6.57496,17.6002,Spring
2.07993,21.3086,Spring
0.56578,23.0495,Spring
6.91368,17.795,Spring
6.0625,26.8047,Spring
6.2361,20.2652,Spring
6.56733,18.0536,Spring
1.10283,30.3939,Spring
3.33198,20.4821,Spring
1.43063,32.1753,Spring
7.28707,22.1037,Spring
5.4076,18.3079,Spring
3.11592,22.8263,Spring
1.02064,32.1456,Spring
2.95983,29.9241,Spring
3.07112,24.3098,Spring
6.24078,23.6288,Spring
5.51936,17.3075,Spring
7.47603,25.3817,Spring
4.22348,20.3395,Spring
1.45982,32.7578,Spring
6.11256,22.7948,Spring
6.48515,20.2639,Spring
4.92151,22.4463,Spring
6.56495,18.4414,Spring
4.39262,18.9254,Spring
4.61942,19.4314,Spring
3.87335,21.2858,Spring
0.721722,32.0694,Spring
1.3681,24.8651,Spring
0.768826,21.4108,Spring
5.51036,27.3787,Spring
2.98627,30.2468,Spring
4.50843,28.2062,Spring
7.63555,25.3547,Spring
2.47633,21.8011,Spring
3.73888,21.0439,Spring
6.44413,24.534,Spring
2.31571,29.4196,Spring
1.12583,21.9928,Spring
2.79343,27.2201,Spring
1.78607,21.6343,Spring
7.80901,18.6127,Spring
6.85615,19.7399,Spring
5.4868,21.468,Spring
7.35258,19.2222,Spring
6.82128,18.4701,Spring
1.98474,31.7124,Spring
7.51793,18.2162,Spring
4.74959,18.2781,Spring
6.85081,24.3849,Spring
7.54562,23.8894,Spring
3.01485,31.1076,Spring
1.38503,30.7416,Spring
2.30894,28.7563,Spring
3.86995,25.4466,Spring
6.9337,17.8497,Spring
7.26848,16.9726,Spring
0.576987,26.3317,Spring
4.52548,18.9705,Spring
3.79396,25.7041,Spring
2.26327,25.7156,Spring
1.46194,19.5016,Spring
3.16856,21.3955,Spring
7.91255,19.9631,Spring
3.0556,18.5744,Spring
4.58852,27.5594,Spring
6.03241,20.0413,Spring
3.37245,24.2422,Spring
8.13885,18.3586,Spring
8.06568,23.0225,Spring
2.49585,21.7227,Spring
4.41969,25.1852,Spring
2.88064,27.3941,Spring
2.75494,20.5529,Spring
0.811601,32.1632,Spring
5.29997,26.05,Spring
4.46225,24.9004,Spring
0.925965,32.5823,Spring
2.7064,30.5351,Spring
7.64103,21.7261,Spring
2.40007,31.1077,Spring
1.65812,29.4748,Spring
4.35858,24.9507,Spring
8.24754,19.667,Spring
2.4196,30.6331,Spring
5.79037,17.1609,Spring
6.49169,24.2097,Spring
2.38499,31.6195,Spring
6.22989,18.0351,Spring
3.405,26.4841,Spring
5.4782,18.0992,Spring
5.48779,18.2505,Spring
4.72163,25.499,Spring
1.23014,22.3739,Spring
7.06918,23.6356,Spring
3.03662,29.7969,Spring
1.98433,25.5401,Spring
0.842075,20.8832,Spring
5.15362,18.2828,Spring
5.83292,22.981,Spring
0.652507,35.0548,Spring
4.53603,23.3691,Spring
2.29766,23.0423,Spring
5.57905,22.3628,Spring
1.8891,27.3054,Spring
5.93772,24.7971,Spring
3.55354,19.8833,Spring
7.86412,21.359,Spring
1.60032,26.6216,Spring
3.19561,30.7474,Spring
1.41185,24.0944,Spring
7.76978,20.634,Spring
7.39864,23.0981,Spring
2.54411,18.4564,Spring
5.69513,26.0009,Spring
6.92748,22.702,Spring
4.87389,17.4169,Spring
4.67364,19.2779,Spring
2.41802,28.0489,Spring
1.2522,20.7723,Spring
7.55443,20.553,Spring
7.57953,18.5888,Spring
