TinyYear,TinySales
1924,94
1925,97
1926,100
1927,104
1928,108
1929,111
1930,115
1931,119
1932,123
1933,127
1934,131
1935,110
1936,114
1937,118
1938,123
1939,127
1940,131
1941,135
1942,139
1943,144
1944,148
1945,152
1946,156
1947,161
1948,165
1949,169
1950,174
1951,178
1952,182
1953,187
1954,191
1955,196
1956,200
1957,204
1958,209
1959,213
1960,193
1961,197
1962,202
1963,206
1964,211
1965,215
1966,220
1967,224
1968,229
1969,233
1970,238
1971,242
1972,247
1973,252
1974,256
1975,261
1976,800
1977,800
1978,800
1979,800
1980,800
1981,800
1982,800
1983,800
1984,800
1985,800
1986,800
1987,800
1988,800
1989,800
1990,800
1991,800
1992,800
1993,800
1994,800
1995,800
1996,800
1997,800
1998,800
1999,800
2000,800
2001,800
2002,800
2003,800
2004,800
2005,800
2006,800
2007,800
2008,800
2009,800
2010,800
2011,800
2012,800
2013,800
2014,800
2015,800
2016,800
2017,800
2018,800
2019,800
2020,800
2021,800
2022,800
2023,800
2024,800
