Yr,Val
1924,54
1925,57
1926,60
1927,64
1928,67
1929,71
1930,75
1931,78
1932,82
1933,86
1934,90
1935,94
1936,98
1937,102
1938,88
1939,91
1940,95
1941,99
1942,103
1943,107
1944,111
1945,115
1946,119
1947,124
1948,128
1949,132
1950,136
1951,140
1952,144
1953,148
1954,152
1955,156
1956,142
1957,147
1958,151
1959,155
1960,159
1961,163
1962,167
1963,172
1964,176
1965,180
1966,184
1967,188
1968,193
1969,197
1970,201
1971,205
1972,209
1973,214
1974,200
1975,204
1976,208
1977,213
1978,217
1979,221
1980,226
1981,1800
1982,1800
1983,1800
1984,1800
1985,1800
1986,1800
1987,1800
1988,1800
1989,1800
1990,1800
1991,1822
1992,1803
1993,1806
1994,1808
1995,1811
1996,1814
1997,1817
1998,1820
1999,1823
2000,1826
2001,1829
2002,1832
2003,1835
2004,1838
2005,1841
2006,1844
2007,1847
2008,1850
2009,1853
2010,1856
2011,1859
2012,1862
2013,1865
2014,1846
2015,1849
2016,1852
2017,1855
2018,1858
2019,1861
2020,1864
2021,1867
2022,1871
2023,1874
2024,1877
