Yr,Sl
1924,50
1925,5
1926,7
1927,9
1928,12
1929,15
1930,19
1931,24
1932,30
1933,38
1934,48
1935,60
1936,74
1937,90
1938,108
1939,130
1940,155
1941,180
1942,210
1943,245
1944,285
1945,330
1946,380
1947,440
1948,510
1949,590
1950,680
1951,780
1952,890
1953,1000
1954,1120
1955,1250
1956,1390
1957,1540
1958,1690
1959,1850
1960,2010
1961,2170
1962,2340
1963,2510
1964,2680
1965,2850
1966,3020
1967,3200
1968,3380
1969,3550
1970,3700
1971,3600
1972,3400
1973,3200
1974,1500
1975,1400
1976,1380
1977,1350
1978,1000
1979,900
1980,800
1981,82
1982,85
1983,88
1984,90
1985,92
1986,94
1987,96
1988,98
1989,100
1990,105
1991,110
1992,115
1993,120
1994,125
1995,130
1996,135
1997,140
1998,145
1999,150
2000,160
2001,170
2002,180
2003,190
2004,200
2005,210
2006,220
2007,230
2008,240
2009,250
2010,260
2011,270
2012,280
2013,290
2014,300
2015,310
2016,320
2017,330
2018,340
2019,350
2020,360
2021,370
2022,380
2023,390
2024,400
