Year,Sales
1924,61
1925,64
1926,68
1927,72
1928,77
1929,81
1930,85
1931,89
1932,93
1933,78
1934,82
1935,86
1936,91
1937,95
1938,99
1939,104
1940,108
1941,112
1942,117
1943,121
1944,126
1945,130
1946,134
1947,139
1948,143
1949,148
1950,152
1951,157
1952,161
1953,146
1954,150
1955,155
1956,159
1957,164
1958,168
1959,173
1960,177
1961,1200
1962,1200
1963,1200
1964,1200
1965,1200
1966,1200
1967,1200
1968,1200
1969,1200
1970,1200
1971,1203
1972,1206
1973,1209
1974,1213
1975,1216
1976,1219
1977,1222
1978,1225
1979,1228
1980,1231
1981,1235
1982,1238
1983,1241
1984,1244
1985,1247
1986,1250
1987,1254
1988,1257
1989,1240
1990,1243
1991,1247
1992,1250
1993,1253
1994,1256
1995,1260
1996,1263
1997,1266
1998,1269
1999,1273
2000,1276
2001,1279
2002,1282
2003,1286
2004,1289
2005,1292
2006,1295
2007,1299
2008,1302
2009,1285
2010,1289
2011,1292
2012,1295
2013,1298
2014,1302
2015,1305
2016,1308
2017,1312
2018,1315
2019,1318
2020,1322
2021,1325
2022,1328
2023,1332
2024,1335
