Year,Revenue
1924,59
1925,62
1926,65
1927,68
1928,71
1929,75
1930,78
1931,81
1932,85
1933,88
1934,91
1935,75
1936,78
1937,82
1938,85
1939,89
1940,92
1941,96
1942,99
1943,103
1944,106
1945,110
1946,113
1947,117
1948,121
1949,124
1950,128
1951,131
1952,135
1953,138
1954,142
1955,126
1956,129
1957,133
1958,137
1959,140
1960,144
1961,147
1962,151
1963,155
1964,158
1965,162
1966,166
1967,169
1968,173
1969,177
1970,180
1971,184
1972,188
1973,191
1974,195
1975,179
1976,182
1977,186
1978,190
1979,193
1980,197
1981,201
1982,205
1983,208
1984,212
1985,216
1986,219
1987,223
1988,227
1989,231
1990,234
1991,435
1992,616
1993,797
1994,978
1995,1134
1996,1315
1997,1496
1998,1677
1999,1858
2000,2039
2001,2500
2002,2500
2003,2500
2004,2500
2005,2500
2006,2500
2007,2500
2008,2500
2009,2500
2010,2500
2011,2500
2012,2500
2013,2500
2014,2500
2015,2500
2016,2500
2017,2500
2018,2500
2019,2500
2020,2500
2021,2500
2022,2500
2023,2500
2024,2500
