Yr,Sls
1924,54
1925,57
1926,61
1927,65
1928,69
1929,73
1930,78
1931,82
1932,86
1933,90
1934,95
1935,99
1936,104
1937,108
1938,94
1939,99
1940,103
1941,108
1942,112
1943,117
1944,122
1945,126
1946,131
1947,135
1948,140
1949,145
1950,149
1951,154
1952,159
1953,163
1954,168
1955,173
1956,159
1957,164
1958,169
1959,173
1960,178
1961,186
1962,187
1963,188
1964,189
1965,190
1966,191
1967,192
1968,163
1969,164
1970,165
1971,194
1972,197
1973,200
1974,203
1975,206
1976,189
1977,192
1978,195
1979,198
1980,201
1981,204
1982,207
1983,210
1984,213
1985,216
1986,219
1987,222
1988,225
1989,228
1990,231
1991,234
1992,237
1993,240
1994,243
1995,246
1996,230
1997,233
1998,236
1999,239
2000,242
2001,245
2002,248
2003,251
2004,254
2005,258
2006,261
2007,264
2008,267
2009,270
2010,273
2011,276
2012,280
2013,283
2014,286
2015,289
2016,272
2017,275
2018,279
2019,282
2020,285
2021,288
2022,291
2023,294
2024,298
